triple_index,kind,subject,relation,object,evidence,verdict,revise_subtype,suggested_subject,suggested_relation,suggested_object,justification,confidence,stage_b_justification,stage_b_confidence,flags
18,relation,ICP,has monitoring data,Monitoring Data,The BESTIntracranial pressure (ICP) and mean arterial blood pressure (MAP) monitoring data,accept_direct,,,,,"ICP is a specific type of Monitoring Data, making the relationship valid.",0.9,,,
19,relation,Monitoring Data,monitoring indicates condition,Condition,the percentage of monitoring time in the red zone during the first day only was a significant independent predictor of mortality,reject,,,,,The relationship 'monitoring indicates condition' is clinically implausible as monitoring data does not directly indicate a specific condition.,0.85,,,
20,relation,ICP,associated with condition,Condition,"when Cerebral Perfusion Pressure (CPP) was below 50 mmHg, almost all The BESTIntracranial pressure (ICP) insults were associated with worse outcome",reject,,,,,"The relationship 'ICP associated with Condition' is incorrect as ICP is a parameter, not a condition itself.",0.9,,,
21,relation,Traumatic Brain Injury,has monitoring data,Monitoring Data,"The present study autoregulation is intact, the transition curve shifts to the right.",accept_direct,,,,,Traumatic Brain Injury is associated with Monitoring Data to assess physiological parameters.,0.85,,,
22,relation,Traumatic Brain Injury,is associated with,Secondary Brain Injury,"Cerebrovascular pressure autoregulation is often impaired in severe Traumatic brain injury (TBI), and such impairment is such as the relationship between physiological thresholds and outcome.",accept_direct,,,,,The relationship between Traumatic Brain Injury and Secondary Brain Injury is clinically valid and directly associated.,0.9,,,
23,relation,CPP,receives therapy,Traumatic Brain Injury,"One would expect such change in recommendation to be followed, and hence to lead to alterations in Cerebral Perfusion Pressure (CPP) policy across centres.",reject,,,,,CPP does not receive therapy; it is a physiological parameter affected by therapies.,0.85,,,
24,relation,CPP,has monitoring data,Monitoring Data,Cerebral perfusion pressure (CPP 1/4 Blood Pressure (BP)-ICP) monitoring is a good example.,accept_direct,,,,,CPP is a type of monitoring data used to assess physiological parameters.,0.95,,,
25,relation,Vasopressors,receives therapy,CPP,the non-beneficial effect of keeping Cerebral Perfusion Pressure (CPP) above 70 mmHg by administering high doses of vasopressors.,reject,,,,,"The relationship 'receives therapy' does not correctly apply to CPP as it is a parameter, not a therapy.",0.85,,,
26,relation,CPP,correlates with,Mean Arterial Pressure (MAP),Cerebral Perfusion Pressure (CPP) strongly correlated with Mean Arterial Pressure (MAP).,accept_direct,,,,,CPP directly correlates with MAP as both are critical parameters in neurointensive care.,0.9,,,
27,relation,CPP,receives therapy,ICP,it is influenced by Intracranial Pressure (ICP) variability,accept_indirect,,,,,"CPP is influenced by ICP, and therapy can target ICP to improve CPP indirectly.",0.7,,,low_evidence
28,relation,CPP,receives therapy,Mean Arterial Pressure (MAP),Mean Arterial Pressure (MAP) variability including,reject,,,,,"CPP does not receive therapy; it is a physiological measure influenced by therapy, not a recipient of it.",0.9,,,
29,relation,CPP,associates with,Acute Respiratory Distress Syndrome,acute respiratory distress syndrome (ARDS) reportedly associated with vasopressors,accept_indirect,,,,,CPP is indirectly associated with ARDS through the impact of vasopressors on blood flow and respiratory function.,0.7,,,low_evidence
30,relation,CPP,follows,Guideline,the Brain Trauma Foundation (BTF) guidelines issued this year,reject,,,,,"The relationship 'CPP follows Guideline' is semantically incorrect as CPP is a physiological parameter, not a guideline.",0.95,,,
31,relation,Guideline Adherence,receives therapy,Traumatic Brain Injury,Guideline adherence and outcomes in severe adult traumatic brain injury,reject,,,,,"Guideline adherence does not receive therapy; it is a measure of practice, not a treatment.",0.85,,,
32,relation,Traumatic Brain Injury,is a risk factor for,Secondary Insult,Traumatically brain injured (TBI) patients are at risk from secondary insults.,accept_direct,,,,,Traumatic Brain Injury is a recognized risk factor for Secondary Insult in neurointensive care.,0.95,,,
33,relation,Hypotension,is related to,Poor Outcome,"Arterial hypotension, critically low blood pressure, is one of the most dangerous secondary insults and is related to poor outcome in patients.",accept_direct,,,,,Hypotension is directly related to poor outcomes in critically ill patients.,0.9,,,
34,relation,Hypotension,affects outcome,Traumatic Brain Injury,there is compelling evidence that even 'minute by minute' hypotension events cumulatively can influence patient outcome.,accept_direct,,,,,Hypotension directly affects outcomes in patients with Traumatic Brain Injury.,0.85,,,
35,relation,Hypotension,prognostic factor for,Head Injury,the cumulative duration of arterial hypotensive events is a prognostic factor for their clinical outcome following a head injury.,accept_direct,,,,,Hypotension is a known prognostic factor for outcomes in head injury cases.,0.85,,,
36,relation,Hypotension,associated with condition,Condition,"for with the medical management of sepsis, it has been shown that duration of hypotension before initiation",reject,,,,,"The relationship 'associated with condition' does not hold between Hypotension and Condition as defined; Hypotension is a subclass of Condition, not a separate association.",0.85,,,
37,relation,Traumatic Brain Injury,has monitoring data,Hypotension,both systolic and mean arterial pressure should be monitored and considered in the definition of hypotension,accept_direct,,,,,Hypotension is a condition that can be monitored in patients with Traumatic Brain Injury.,0.85,,,
38,relation,Hypotension,is a condition of,Sepsis,"for with the medical management of sepsis, it has been shown that duration of hypotension before initiation",accept_indirect,,,,,Hypotension can be a condition associated with sepsis through the pathway of complications in critically ill patients.,0.7,,,low_evidence
39,relation,Sepsis,receives therapy,Hypotension,it has been shown that with each hour delay in treatment of hypotension leads to an increase in in-hospital mortality.,accept_indirect,,,,,"Sepsis can lead to hypotension, and hypotension receives therapy, creating an indirect relationship through the condition pathway.",0.7,,,low_evidence
40,relation,Monitoring Data,has monitoring data,Monitoring Data,sophisticated patient monitoring systems can capture large volumes of streaming physiological data which continuously report on a patient's status.,reject,,,,,The relationship 'Monitoring Data has monitoring data' is circular and does not provide meaningful information.,0.9,,,
41,relation,ICP,affects outcome,Hypotension,Impact of Intracranial Pressure (ICP) instability and hypotension on outcome in patients with severe head trauma.,accept_direct,,,,,"ICP directly affects outcomes in patients with hypotension, as both are critical parameters in neurointensive care.",0.85,,,
42,relation,Secondary Insult,worsens,Head Trauma,Measuring the burden of secondary insults in head-injured patients during intensive care.,reject,,,,,The relationship 'worsens' does not correctly describe the connection between 'Secondary Insult' and 'Head Trauma'.,0.85,,,
43,relation,Decompressive Craniectomy,is associated with,Mean Intracranial Pressure,Decompressive craniectomy (DC) resulted in an absolute reduction in median mean Mean intracranial pressure (ICP) from 19.5 group to 13.9 mmHg.,accept_direct,,,,,Decompressive Craniectomy is clinically associated with Mean Intracranial Pressure in neurointensive care.,0.85,,,
44,relation,Decompressive Craniectomy,is associated with,Cerebrovascular Autoregulation,"A control varying effect on Cerebral Perfusion Pressure (CPP) was seen, as well as a trend of reduction in median Pressure Reactivity Index (PRx).",accept_indirect,,,,,The relationship is valid through the chain: Decompressive Craniectomy → influences → Cerebral Perfusion Pressure → relates to → Cerebrovascular Autoregulation.,0.7,,,low_evidence
45,relation,Decompressive Craniectomy,has monitoring data,Monitoring Data,"patient, injury and management variables including physiological monitoring data and administration of thiopental were analysed",accept_indirect,,,,,Decompressive Craniectomy is associated with Monitoring Data via the relationship of surgical procedures impacting patient monitoring.,0.7,,,low_evidence
46,relation,Decompressive Craniectomy,is associated with,ICP,uncontrollable intracranial hypertension is a major cause of death in patients with severe traumatic brain injury.,accept_direct,,,,,Decompressive Craniectomy is directly associated with ICP as it relieves pressure affecting cerebral perfusion.,0.85,,,
47,relation,Decompressive Craniectomy,is treated with,Barbiturates,"Decompressive craniectomy (DC) was chosen as a next step, with or without first having applied third-tier medical therapy with barbiturates.",accept_indirect,,,,,Decompressive Craniectomy is associated with Barbiturates through the pathway of surgical intervention and subsequent sedation management.,0.7,,,low_evidence
48,relation,Decompressive Craniectomy,affects outcome,Mortality,the results of RESCUEicp showed that Decompressive craniectomy (DC) resulted in lower mortality rates.,accept_direct,,,,,Decompressive craniectomy directly affects mortality as evidenced by the study results.,0.85,,,
49,relation,Monitoring,has outcome,Outcome,the outcome was captured at six months using the extended Glasgow Outcome Scale (GOSE).,accept_indirect,,,,,Monitoring data indirectly influences patient outcomes through the assessment of physiological parameters.,0.7,,,low_evidence
50,relation,Patient,has demographic data,Demographic Data,the collection of demographic data from traumatic brain injury (TBI) patients.,accept_direct,,,,,The relationship 'Patient has demographic data Demographic Data' is semantically correct and directly holds between the two classes.,0.95,,,
51,relation,Patient,has surgical procedure,Surgical Procedure,the physiological vital functions are extensively monitored.,accept_direct,,,,,The relationship 'Patient has surgical procedure Surgical Procedure' is semantically correct and holds directly.,0.95,,,
52,relation,Patient,has monitoring data,Monitoring Data,"The Brain Monitoring with Information Technology (BrainIT) network provides a more standardised and higher resolution data collection mechanism for research groups, organisations and the device industry to conduct multi-centre trials of new health care technology in patients with traumatic brain injury.",accept_direct,,,,,The relationship 'Patient has monitoring data Monitoring Data' is semantically correct as patients in neurointensive care have monitoring data collected.,0.9,,,
53,relation,Patient,receives therapy,Therapy,the physiological vital functions are extensively monitored.,accept_direct,,,,,Patients in neurointensive care receive various therapies as part of their treatment.,0.9,,,
54,relation,Therapy,targets condition,Condition,Therapeutic hypothermia reduces intracranial pressure and partial brain oxygen tension in patients with severe traumatic brain injury.,reject,,,,,Therapy does not directly target Condition as defined; the relationship is clinically implausible.,0.85,,,
55,relation,Patient,has clinical assessment,Clinical Assessment,the physiological vital functions are extensively monitored.,accept_direct,,,,,The relationship between Patient and Clinical Assessment is valid and direct in the context of neurointensive care.,0.95,,,
56,relation,Patient,has outcome,Outcome,the physiological vital functions are extensively monitored.,accept_direct,,,,,The relationship 'Patient has outcome Outcome' is semantically correct and directly holds between the two classes.,0.9,,,
57,relation,Patient,has laboratory value,Laboratory Values,the physiological vital functions are extensively monitored.,accept_direct,,,,,Patients in neurointensive care typically have laboratory values assessed as part of their management.,0.9,,,
58,relation,Patient,has nursing intervention,Nursing Intervention,"Routine nursing care, physiotherapy, or bedside clinical activities",accept_direct,,,,,The relationship 'Patient has nursing intervention' is valid as nursing interventions are part of patient care in neurointensive care.,0.9,,,
59,relation,Patient,has session,Session,a live clinical environment to test the data collection systems.,accept_direct,,,,,The relationship 'Patient has session Session' is semantically correct and directly holds between the two classes.,0.9,,,
60,relation,Session,has timepoint,Timepoint,minute-by-minute physiological data from bedside monitors.,accept_direct,,,,,The relationship 'Session has timepoint' is semantically correct as timepoints are part of a monitoring session.,0.9,,,
61,relation,Timepoint,has monitoring data,Observation,minute-by-minute physiological data from bedside monitors.,accept_direct,,,,,The relationship 'Timepoint has monitoring data Observation' is semantically correct as observations are recorded at specific timepoints.,0.9,,,
62,relation,Observation,measures parameter,Parameter,the physiological vital functions are extensively monitored.,accept_direct,,,,,The relationship 'Observation measures Parameter' is semantically correct and holds directly between the two classes.,0.9,,,
63,relation,Observation,produced by sensor,Sensor,the physiological vital functions are extensively monitored.,accept_direct,,,,,The relationship 'produced by' holds directly between Observation and Sensor as defined.,0.95,,,
64,relation,Observation,has quality assessment,Data Quality Assessment,the physiological vital functions are extensively monitored.,accept_direct,,,,,The relationship 'Observation has quality assessment Data Quality Assessment' is semantically correct and holds directly between the two classes.,0.85,,,
65,relation,Data Quality Assessment,associated with condition,Condition,the physiological vital functions are extensively monitored.,reject,,,,,The relationship 'Data Quality Assessment associated with Condition' is clinically implausible as it does not hold between the two classes.,0.9,,,
66,relation,Data Quality Assessment,receives therapy,Therapy,the physiological vital functions are extensively monitored.,reject,,,,,Data Quality Assessment does not receive therapy; it assesses data quality instead.,0.9,,,
67,relation,Arterial Hypotension,receives therapy,Barbiturates,administration of hyperosmolar molecules were used at the discretion of the managing teams.,accept_indirect,,,,,Arterial Hypotension can be treated with Barbiturates via the pathway: Condition → receives Therapy → Therapy type.,0.7,,,low_evidence
68,relation,Brain Injury,is associated with,Traumatic Brain Injury,Decompressive craniectomy as a second/third-tier intervention in traumatic brain injury,accept_direct,,,,,Brain Injury is a broader category that includes Traumatic Brain Injury as a specific type.,0.9,,,
69,relation,CVP,has monitoring data,Monitoring Data,physiological monitoring data,accept_direct,,,,,CVP is a physiological parameter that falls under Monitoring Data.,0.95,,,
70,relation,Clinical Outcome,has outcome,Outcome,demonstrated a decrease in mortality with similar rates of favorable outcome,accept_direct,,,,,The relationship 'Clinical Outcome has outcome Outcome' is semantically correct as it directly connects the classes.,0.9,,,
71,relation,Cranial Injuries,is a type of,Injuries,the occurrence of arterial hypotension (systolic pressure less than 90 mmHg) and hypoxia (SaO2 below 90%) at baseline,reject,,,,,Cranial Injuries is not a recognized subclass of Injuries in the context of the ontology.,0.85,,,
72,relation,Disability,is a type of,Clinical Outcome,the outcome was unfavorable in 51.4% and favorable in 48.6%,accept_direct,,,,,Disability is a recognized clinical outcome related to brain injuries.,0.85,,,
73,relation,Extracranial Injury,is a type of,Injuries,45.9% presented with an additional extracranial injury,reject,,,,,Extracranial Injury is not a subclass of Injuries as defined in the context of neurointensive care.,0.85,,,
74,relation,Intensive Care Management,is a type of,Condition,"In many neurointensive care centers, Decompressive craniectomy (DC) is being used in combination with other second/third-tier therapies.",reject,,,,,ICU management data is not a type of medical condition; it is a category of data.,0.9,,,
75,relation,NIBP,is a type of,Monitoring Data,Mean arterial blood pressure (MAP) and Mean intracranial pressure (ICP),accept_direct,,,,,NIBP is correctly classified as a type of Monitoring Data.,0.95,,,
76,relation,Pressure Reactivity Index (PRx),is a type of,Core Monitoring Parameter,Pressure Reactivity Index (PRx) is the moving correlation between mean arterial blood pressure (MAP) and Mean intracranial pressure (ICP).,accept_direct,,,,,PRx is a recognized Core Monitoring Parameter used in neurointensive care.,0.9,,,
77,relation,Hypotension,is treated with,Noradrenaline,the time and dose of a bolus of Noradrenaline,accept_direct,,,,,Hypotension is directly treated with Noradrenaline to increase blood pressure.,0.9,,,
78,relation,CPP,targets condition,Respiratory Distress Syndrome,Cerebral Perfusion Pressure (CPP) value to target lies within the range of 50-70 mm Hg.,reject,,,,,CPP does not target Respiratory Distress Syndrome; the relationship is clinically implausible.,0.9,,,
79,relation,Traumatic Brain Injury,applies treatment,Osmotics,#2 - Hyperosmolar therapy,accept_direct,,,,,Osmotics is a valid treatment for Traumatic Brain Injury to manage intracranial pressure.,0.9,,,
80,relation,Cerebrovascular Autoregulation,receives therapy,CPP,the presence (or not) of cerebral autoregulation,reject,,,,,"Cerebrovascular Autoregulation does not receive therapy; it is a physiological process, not a condition treated with therapy.",0.85,,,
81,relation,ICP,receives therapy,Partial Pressure of Brain Tissue Oxygen,There is a statistically significant (p < 0.001) non-linear effect of Intracranial Pressure (ICP) on Regression model of partial pressure of brain tissue oxygen (PbtO2).,reject,,,,,The relationship 'receives therapy' does not hold between ICP and Partial Pressure of Brain Tissue Oxygen.,0.85,,,
82,relation,Traumatic Brain Injury,has clinical assessment,GOSe Outcome,Monitoring of Intracranial Pressure (ICP) has also been shown to have better functional outcomes.,accept_direct,,,,,GOSe Outcome is a clinical assessment related to Traumatic Brain Injury outcomes.,0.85,,,
83,relation,Partial Pressure of Brain Tissue Oxygen,is measured at,Measurement Time,Partial pressure of brain tissue oxygen over intracranial pressure stratified by days in Intensive Care Unit (ICU),accept_direct,,,,,The relationship 'Partial Pressure of Brain Tissue Oxygen is measured at Measurement Time' is semantically correct and directly holds.,0.9,,,
84,relation,ICP,receives therapy,Pbro2,an overall increase in Regression model of partial pressure of brain tissue oxygen (PbtO2) of 5.2% for a 10 mmHg increase in Intracranial Pressure (ICP),reject,,,,,"The relationship 'receives therapy' does not hold between ICP and PbtO2 as they are both parameters, not entities that receive therapy.",0.85,,,
85,relation,Partial Pressure of Carbon Dioxide,receives therapy,Pbro2,a decrease of 0.16% from a unit increase in Mean Arterial Pressure (MAP) and a Regression model of partial pressure of brain tissue oxygen (PbtO2) decrease of 0.16% from a unit increase in PaCO2,reject,,,,,The relationship 'receives therapy' does not hold between Partial Pressure of Carbon Dioxide and PbtO2.,0.85,,,
86,relation,ICP,has outcome,Outcome,median extended Glasgow outcome scale of 7.00,reject,,,,,"The relationship 'ICP has outcome Outcome' is semantically incorrect as ICP is a parameter, not a direct determinant of outcome.",0.85,,,
87,relation,Intracranial Hypertension,receives therapy,CPP,the impact of autoregulation on Regression model of partial pressure of brain tissue oxygen (PbtO2) cannot be directly assessed.,reject,,,,,"Intracranial Hypertension does not receive therapy directly from CPP, as CPP is a parameter rather than a therapeutic intervention.",0.85,,,
88,relation,Hypotension,is associated with,Traumatic Brain Injury,guarding against hypotensive conditions in Traumatic Brain Injury (TBI) patients.,accept_direct,,,,,Hypotension is clinically associated with Traumatic Brain Injury as both are relevant conditions in neurointensive care.,0.85,,,
89,relation,Intracranial Hypertension,receives therapy,Traumatic Brain Injury,episodes of increased intracranial pressure (ICP) and worse clinical outcomes,reject,,,,,The relationship 'receives therapy' does not hold between Intracranial Hypertension and Traumatic Brain Injury as stated.,0.85,,,
90,relation,CPP,assesses,Intracranial Hypertension,the ability to tolerate elevated intracranial pressures is reduced.,accept_direct,,,,,CPP directly assesses the risk of secondary injury related to Intracranial Hypertension.,0.85,,,
91,relation,CPP,is associated with,ICP,Role of Cerebral Perfusion Pressure (CPP),accept_direct,,,,,CPP and ICP are directly associated as they both relate to cerebral perfusion and intracranial pressure in neurointensive care.,0.85,,,
92,relation,ICP,associated with condition,Mortality,"when Cerebral Perfusion Pressure (CPP) was below 50 mmHg, almost all The BESTIntracranial pressure (ICP) insults were associated with worse outcome",accept_direct,,,,,ICP is directly associated with Mortality as it influences outcomes in neurological assessments.,0.85,,,
93,relation,ICP,predicts outcome,Outcome Score,"Above 20 mmHg, the vast majority of insults are clearly deleterious with the exception of those lasting less than 37 min in adults.",accept_direct,,,,,ICP directly influences the Outcome Score in neurological assessments.,0.85,,,
94,relation,Mean Arterial Pressure (MAP),triggers intervention,Hypotension,our analysis shows that most events are triggered by a drop in mean arterial pressure.,accept_direct,,,,,Mean Arterial Pressure directly influences interventions for Hypotension in critically ill patients.,0.85,,,
95,relation,Brain Injury,has monitoring data,Arterial Hypotension,The brain monitoring with information technology (BrainIT) database contains 199 patients,reject,,,,,The relationship 'has monitoring data' does not hold between 'Brain Injury' and 'Arterial Hypotension'.,0.85,,,
96,relation,Hypotension,relates to clinical outcome,Brain Injury,arterial hypotension consistently relate to clinical outcome,accept_direct,,,,,Hypotension directly relates to clinical outcomes in the context of brain injury.,0.85,,,
97,relation,Dsg,has monitoring data,Hypotensive,to scan the BrainIT database for hypotensive events;,accept_direct,,,,,"The application Dsg is designed to scan for hypotensive events, directly linking it to the condition of hypotension.",0.85,,,
98,relation,Secondary Insult Grades,defines,Hypotensive,the Edinburgh University Secondary Insult Grades (EUSIG) definition.,reject,,,,,The relationship 'defines' does not hold between 'Secondary Insult Grades' and 'Hypotensive' as they are distinct concepts.,0.85,,,
99,relation,CPP,calculates,Mean Arterial Pressure (MAP),"which uses cerebral perfusion pressure (CPP), which of course uses Java-Based Software BPm in its calculation.",accept_indirect,,,,,CPP is calculated from MAP through the relationship of blood pressure and cerebral perfusion dynamics.,0.7,,,low_evidence
100,relation,ICP,receives therapy,Outcome,Impact of Intracranial Pressure (ICP) instability and hypotension on outcome in patients with severe head trauma.,reject,,,,,The relationship 'receives therapy' does not hold between ICP and Outcome as they are not directly related in this context.,0.85,,,
101,relation,CPP,is measured by,Mean Arterial Pressure (MAP),its role in calculating Cerebral Perfusion Pressure (CPP),accept_direct,,,,,CPP is directly measured by MAP in clinical practice.,0.95,,,
102,relation,Treatment Data,informs,Clinical Practice,Accurate and comprehensive treatment data,accept_direct,,,,,Treatment Data directly informs Clinical Practice in patient care.,0.85,,,
103,relation,Clinical Reminders,enhances,Guideline Adherence,clinical reminders (automated interventions),accept_direct,,,,,Clinical reminders enhance guideline adherence directly in clinical practice.,0.85,,,
104,relation,Guideline Adherence,has outcome,Outcome,Several studies have been conducted that show dropping mortality rates and improved long-term outcomes since the adoption and spread of use of these guidelines.,accept_direct,,,,,"Guideline Adherence directly influences patient outcomes, making the relationship valid.",0.85,,,
105,relation,Guideline Adherence,is measured by,Clinical Practice,"This work attempts to leverage those advantages by providing a 'near real-time' ability to monitor clinical guideline adherence, as well as providing measurable quantitative feedback.",accept_direct,,,,,"Guideline Adherence is a measure of Clinical Practice, aligning with the defined relationship.",0.85,,,
106,relation,Heart Failure,is treated with,Guideline Adherence,"There are many reasons for non-adherence, but these can be broken down into two broad categories: being unwilling to adhere to a guideline and being unable to adhere.",reject,,,,,Heart Failure is not directly treated with Guideline Adherence; they are not in a valid relationship.,0.85,,,
107,relation,EUSIG Grade,is a type of,Secondary Insult Grades,the classification of pressure events using Edinburgh University Secondary Insult Grades (EUSIG) parameters has a well-established precedent,reject,,,,,The relationship between EUSIG Grade and Secondary Insult Grades is not clinically valid as defined.,0.85,,,
108,relation,Heart Rate,has monitoring data,Monitoring Data,Heart Rate (specifying source: Electrocardiogram (ECG) or Pulse Oximetry),accept_direct,,,,,"Heart Rate is a type of Monitoring Data, making the relationship valid.",0.95,,,
109,relation,Respiration Rate,has monitoring data,Impedance Plethmography,Respiration Rate (sources: impedance plethmography or ventilator),reject,,,,,Respiration Rate does not have a direct relationship with Impedance Plethmography as a monitoring data type.,0.85,,,
110,relation,Respiration Rate,has monitoring data,Ventilator,Respiration Rate (sources: impedance plethmography or ventilator),reject,,,,,Respiration Rate does not have a direct relationship with Ventilator; it is a monitored parameter rather than a data source.,0.85,,,
111,relation,Mean Arterial Pressure (MAP),has monitoring data,Monitoring Data,Mean Arterial Pressure,accept_direct,,,,,Mean Arterial Pressure is a specific type of Monitoring Data.,0.95,,,
112,relation,Sao2,has monitoring data,Monitoring Data,Pulse Oximetry (SaO2),accept_direct,,,,,SaO2 is a type of Monitoring Data that measures oxygen saturation levels.,0.9,,,
113,relation,Temperature,has monitoring data,Monitoring Data,Temperature (sources: rectal=oesophageal= bladder=skin),accept_direct,,,,,Temperature is a physiological parameter that is monitored as part of Monitoring Data.,0.95,,,
114,relation,EtCO2,has monitoring data,Monitoring Data,End-Tidal CO2 (EtCO2),accept_direct,,,,,"EtCO2 is a type of Monitoring Data, making the relationship valid.",0.9,,,
115,relation,Jugular Venous Oxygen Saturation,has monitoring data,Monitoring Data,Jugular Venous Oxygen Saturation (SjO2),accept_direct,,,,,Jugular Venous Oxygen Saturation is a specific type of Monitoring Data.,0.9,,,
116,relation,Transcranial Doppler,has monitoring data,Monitoring Data,Transcranial Doppler (TCD),accept_direct,,,,,"Transcranial Doppler is a method for monitoring blood flow, directly related to Monitoring Data.",0.9,,,
117,relation,Pbro2,has monitoring data,Monitoring Data,Brain Tissue Oxygen (PbrO2),accept_direct,,,,,PbrO2 is a specific type of Monitoring Data related to cerebral oxygenation assessment.,0.9,,,
118,relation,GCS Assessment,has monitoring data,Monitoring Data,Glasgow Coma Scale (GCS) scores,accept_direct,,,,,GCS Assessment is a clinical assessment that directly relates to Monitoring Data.,0.85,,,
119,relation,Hypotension,targets condition,Vasopressors,arterial pressors may be given to treat systemic hypotension,accept_direct,,,,,"Hypotension is a condition that can be treated with vasopressors, establishing a direct relationship.",0.85,,,
120,relation,ICP,targets condition,Vasopressors,to treat reduced cerebral perfusion pressure (CPP) secondary to raised Intracranial Pressure (ICP),reject,,,,,"The relationship 'ICP targets condition Vasopressors' is semantically incorrect; ICP is a parameter, not a target for medications.",0.85,,,
121,relation,CPP,receives therapy,Respiratory Distress Syndrome,"aggressive management of Cerebral Perfusion Pressure (CPP) > 70 mmHg, although reducing the incidence of jugular venous desaturations < 50%, increased the incidence of acute respiratory distress syndrome and worsened neurological outcome.",reject,,,,,"CPP does not receive therapy; it is a parameter, not a condition that requires treatment.",0.95,,,
122,relation,Brain Injury,has monitoring data,Monitoring Data,"collection of admission, monitoring, treatment and outcome data from patients with brain injury.",accept_direct,,,,,Brain Injury can directly have associated Monitoring Data to assess physiological parameters.,0.9,,,
