triple_index,kind,subject,relation,object,evidence,verdict,revise_subtype,suggested_subject,suggested_relation,suggested_object,justification,confidence,stage_b_justification,stage_b_confidence,flags
13,relation,Decompressive Craniectomy,has clinical assessment,GOSe Outcome,outcome was only evaluated in terms of robust extended Glasgow Outcome Scores,revise,4.4,Decompressive Craniectomy,hasOutcome,GOSe Outcome,"The relation 'has clinical assessment' should be 'hasClinicalAssessment', as the object 'GOSe Outcome' is an outcome, not a clinical assessment.",0.9,"hasClinicalAssessment should be hasOutcome, as GOSe Outcome is an outcome, not a clinical assessment.",1.0,
14,relation,Decompressive Craniectomy,reduces,Mean Intracranial Pressure,it effectively reduces Mean intracranial pressure (ICP),accept_direct,,,,,Decompressive Craniectomy reduces Mean Intracranial Pressure is semantically correct as the procedure is intended to relieve pressure on the brain.,0.95,,,
15,relation,ICP,has monitoring data,Traumatic Brain Injury,The BESTIntracranial pressure (ICP) monitoring is still considered to provide important information to detect and prevent secondary injury after severe Traumatic brain injury (TBI).,accept_direct,,,,,ICP hasMonitoringData Traumatic Brain Injury is valid as ICP is a core monitoring parameter relevant to TBI assessments.,0.9,,,
16,relation,Intracranial Hypertension,receives therapy,GOSe Outcome,"Intracranial pressures above 20 mmHg lasting longer than 37 min in adults, and longer than 8 min in children, are associated with worse outcomes.",revise,4.3,Intracranial Hypertension,targetsCondition,Secondary Insult Therapy,"Intracranial Hypertension should not 'receive therapy'; it should be linked to a specific therapy class instead, such as 'Secondary Insult Therapy'.",0.8,"Intracranial Hypertension should be linked to Secondary Insult Therapy instead of receiving therapy, as per the domain context.",1.0,
17,relation,CPP,has clinical assessment,Intracranial Hypertension,"When the cerebral perfusion pressure is below 50 mmHg, all intracranial pressure insults, regardless of duration, are associated with worse outcome.",revise,4.4,CPP,hasClinicalAssessment,Intracranial Hypertension,The relation 'has clinical assessment' should be 'hasClinicalAssessment' as it must match the canonical BrainIT relation naming convention.,0.9,The relation 'has clinical assessment' should be 'hasClinicalAssessment' to match the canonical BrainIT relation naming convention.,1.0,
18,relation,ICP,has monitoring data,Monitoring Data,The BESTIntracranial pressure (ICP) and mean arterial blood pressure (MAP) monitoring data,accept_direct,,,,,ICP hasMonitoringData MonitoringData is valid as ICP is a core monitoring parameter and falls under the monitoring data category.,0.95,,,
19,relation,Monitoring Data,monitoring indicates condition,Condition,the percentage of monitoring time in the red zone during the first day only was a significant independent predictor of mortality,reject,,,,,"The relation 'monitoring indicates condition' is semantically incorrect; monitoring data does not indicate a condition directly, nor is there a valid relation between these classes.",0.9,,,
20,relation,ICP,associated with condition,Condition,"when Cerebral Perfusion Pressure (CPP) was below 50 mmHg, almost all The BESTIntracranial pressure (ICP) insults were associated with worse outcome",reject,,,,,"The relationship 'ICP associated with Condition' is incorrect; ICP is a monitoring parameter, not a condition itself, and does not hold this relationship with the generic class 'Condition'.",0.7,,,low_evidence
21,relation,Traumatic Brain Injury,has monitoring data,Monitoring Data,"The present study autoregulation is intact, the transition curve shifts to the right.",accept_direct,,,,,"The relationship 'Traumatic Brain Injury has monitoring data Monitoring Data' is valid as TBI is monitored through various physiological parameters, directly linking it to Monitoring Data.",0.9,,,
22,relation,Traumatic Brain Injury,is associated with,Secondary Brain Injury,"Cerebrovascular pressure autoregulation is often impaired in severe Traumatic brain injury (TBI), and such impairment is such as the relationship between physiological thresholds and outcome.",accept_direct,,,,,The relationship 'Traumatic Brain Injury is associated with Secondary Brain Injury' is clinically valid as secondary brain injury often results from the primary injury.,0.9,,,
23,relation,CPP,receives therapy,Traumatic Brain Injury,"One would expect such change in recommendation to be followed, and hence to lead to alterations in Cerebral Perfusion Pressure (CPP) policy across centres.",revise,4.4,CPP,isMonitoredBy,Traumatic Brain Injury,"The relation 'receives therapy' is incorrect as 'CPP' is a parameter, not a therapy; it should relate to a therapy class instead.",0.7,"CPP is a monitoring parameter, and the relation should be isMonitoredBy to connect it to Traumatic Brain Injury.",0.9,low_evidence
24,relation,CPP,has monitoring data,Monitoring Data,Cerebral perfusion pressure (CPP 1/4 Blood Pressure (BP)-ICP) monitoring is a good example.,accept_direct,,,,,"CPP hasMonitoringData Monitoring Data is valid as CPP is a physiological parameter that is monitored, aligning with the preamble's definitions.",0.9,,,
25,relation,Vasopressors,receives therapy,CPP,the non-beneficial effect of keeping Cerebral Perfusion Pressure (CPP) above 70 mmHg by administering high doses of vasopressors.,revise,4.4,Vasopressors,isAdministeredDuring,Therapy,The relation 'receives therapy' is incorrect as CPP is not a therapy; it should be replaced with a valid therapy class like 'Vasopressors isAdministeredDuring Therapy'.,0.9,CPP is not a therapy; Vasopressors should be linked to Therapy via isAdministeredDuring.,1.0,
26,relation,CPP,correlates with,Mean Arterial Pressure (MAP),Cerebral Perfusion Pressure (CPP) strongly correlated with Mean Arterial Pressure (MAP).,accept_direct,,,,,"CPP correlates with MAP as both are valid physiological parameters in neurointensive care, directly linking their relationship.",0.9,,,
27,relation,CPP,receives therapy,ICP,it is influenced by Intracranial Pressure (ICP) variability,revise,4.4,CPP,assesses,ICP,"The relation 'receives therapy' is incorrect as CPP is a parameter, not a therapy; it should be replaced with a valid therapy class.",0.9,"CPP assesses ICP as both are critical parameters in neurological assessments, correcting the inappropriate 'receives therapy' relation.",1.0,
28,relation,CPP,receives therapy,Mean Arterial Pressure (MAP),Mean Arterial Pressure (MAP) variability including,revise,4.3,CPP,receivesTherapy,Baseline Therapy,CPP does not receive therapy; it should be replaced with a valid therapy class like Baseline Therapy or Secondary Insult Therapy.,0.9,CPP does not receive therapy; it should be replaced with a valid therapy class like Baseline Therapy.,0.9,
29,relation,CPP,associates with,Acute Respiratory Distress Syndrome,acute respiratory distress syndrome (ARDS) reportedly associated with vasopressors,reject,,,,,CPP does not directly associate with Acute Respiratory Distress Syndrome; the relationship is clinically implausible as they are not hierarchically related or directly connected in the ontology.,0.9,,,
30,relation,CPP,follows,Guideline,the Brain Trauma Foundation (BTF) guidelines issued this year,accept_indirect,,,,,"CPP is associated with Guideline through clinical recommendations for assessing secondary injury risk, forming an indirect relationship.",0.85,,,
31,relation,Guideline Adherence,receives therapy,Traumatic Brain Injury,Guideline adherence and outcomes in severe adult traumatic brain injury,revise,4.4,Guideline Adherence,affectsOutcome,Traumatic Brain Injury,"The relation 'receivesTherapy' is incorrect as 'Traumatic Brain Injury' is a condition, not a therapy; it should be 'Guideline Adherence affectsOutcome Traumatic Brain Injury'.",0.9,"The relation 'receivesTherapy' is incorrect as 'Traumatic Brain Injury' is a condition, not a therapy; it should be 'affectsOutcome'.",1.0,
32,relation,Traumatic Brain Injury,is a risk factor for,Secondary Insult,Traumatically brain injured (TBI) patients are at risk from secondary insults.,accept_direct,,,,,"Traumatic Brain Injury is a recognized risk factor for Secondary Insult, as stated in the evidence from clinical literature.",0.95,,,
33,relation,Hypotension,is related to,Poor Outcome,"Arterial hypotension, critically low blood pressure, is one of the most dangerous secondary insults and is related to poor outcome in patients.",accept_direct,,,,,"Hypotension is related to Poor Outcome as a clinically recognized association in neurointensive care, supported by the evidence provided.",0.95,,,
34,relation,Hypotension,affects outcome,Traumatic Brain Injury,there is compelling evidence that even 'minute by minute' hypotension events cumulatively can influence patient outcome.,accept_direct,,,,,Hypotension affects outcome is a valid relationship as it directly influences patient outcomes in the context of Traumatic Brain Injury.,0.95,,,
35,relation,Hypotension,prognostic factor for,Head Injury,the cumulative duration of arterial hypotensive events is a prognostic factor for their clinical outcome following a head injury.,accept_direct,,,,,"Hypotension is a prognostic factor for Head Injury as stated in the evidence, confirming the relationship directly between the two classes.",0.9,,,
36,relation,Hypotension,associated with condition,Condition,"for with the medical management of sepsis, it has been shown that duration of hypotension before initiation",reject,,,,,The relationship 'Hypotension associated with Condition' is incorrect as 'Condition' is too generic and does not specifically relate to hypotension; no valid relation exists here.,0.7,,,low_evidence
37,relation,Traumatic Brain Injury,has monitoring data,Hypotension,both systolic and mean arterial pressure should be monitored and considered in the definition of hypotension,accept_direct,,,,,Traumatic Brain Injury hasMonitoringData Hypotension is valid as hypotension is a condition monitored in TBI patients.,0.95,,,
38,relation,Hypotension,is a condition of,Sepsis,"for with the medical management of sepsis, it has been shown that duration of hypotension before initiation",accept_indirect,,,,,"Hypotension is a condition that can lead to poor outcomes in critically ill patients, and Sepsis is a condition that can be influenced by Hypotension, thus establishing an indirect relationship.",0.75,,,
39,relation,Sepsis,receives therapy,Hypotension,it has been shown that with each hour delay in treatment of hypotension leads to an increase in in-hospital mortality.,revise,4.4,Sepsis,isAdministeredDuring,Baseline Therapy,The relation 'receives therapy' is incorrect as 'Hypotension' is not a therapy; it should be replaced with a valid therapy class like 'Baseline Therapy'.,0.9,Hypotension is not a therapy; it should be replaced with a valid therapy class like 'Baseline Therapy'.,1.0,
40,relation,Monitoring Data,has monitoring data,Monitoring Data,sophisticated patient monitoring systems can capture large volumes of streaming physiological data which continuously report on a patient's status.,reject,,,,,The relation 'has monitoring data' between 'Monitoring Data' and 'Monitoring Data' is nonsensical as it implies a circular reference without any meaningful connection.,0.9,,,
41,relation,ICP,affects outcome,Hypotension,Impact of Intracranial Pressure (ICP) instability and hypotension on outcome in patients with severe head trauma.,accept_direct,,,,,"ICP affects outcome Hypotension directly as both are valid classes in the neurointensive care context, with ICP influencing patient outcomes related to low blood pressure.",0.9,,,
42,relation,Secondary Insult,worsens,Head Trauma,Measuring the burden of secondary insults in head-injured patients during intensive care.,accept_direct,,,,,Secondary Insult worsens Head Trauma is clinically valid as secondary insults can exacerbate head injuries in neurointensive care.,0.9,,,
43,relation,Decompressive Craniectomy,is associated with,Mean Intracranial Pressure,Decompressive craniectomy (DC) resulted in an absolute reduction in median mean Mean intracranial pressure (ICP) from 19.5 group to 13.9 mmHg.,accept_direct,,,,,"Decompressive Craniectomy is associated with Mean Intracranial Pressure as it directly relates to managing brain injuries, supported by the provided evidence.",0.9,,,
44,relation,Decompressive Craniectomy,is associated with,Cerebrovascular Autoregulation,"A control varying effect on Cerebral Perfusion Pressure (CPP) was seen, as well as a trend of reduction in median Pressure Reactivity Index (PRx).",accept_indirect,,,,,Decompressive Craniectomy is associated with Cerebrovascular Autoregulation via the pathway: Surgical Procedure → isAssociatedWith → Condition → isAConditionOf → Insult → affectsOutcome → Cerebrovascular Autoregulation.,0.85,,,
45,relation,Decompressive Craniectomy,has monitoring data,Monitoring Data,"patient, injury and management variables including physiological monitoring data and administration of thiopental were analysed",accept_direct,,,,,Decompressive Craniectomy hasMonitoringData Monitoring Data is valid as monitoring data is collected during surgical procedures in neurointensive care.,0.95,,,
46,relation,Decompressive Craniectomy,is associated with,ICP,uncontrollable intracranial hypertension is a major cause of death in patients with severe traumatic brain injury.,accept_direct,,,,,Decompressive Craniectomy is associated with ICP as it directly relates to intracranial pressure management in neurointensive care.,0.95,,,
47,relation,Decompressive Craniectomy,is treated with,Barbiturates,"Decompressive craniectomy (DC) was chosen as a next step, with or without first having applied third-tier medical therapy with barbiturates.",accept_indirect,,,,,The relationship between Decompressive Craniectomy and Barbiturates is true via the chain: Decompressive Craniectomy is a Surgical Procedure that may be associated with Barbiturates as a therapy.,0.7,,,low_evidence
48,relation,Decompressive Craniectomy,affects outcome,Mortality,the results of RESCUEicp showed that Decompressive craniectomy (DC) resulted in lower mortality rates.,accept_direct,,,,,Decompressive Craniectomy affects outcome Mortality is supported by clinical evidence showing lower mortality rates post-procedure.,0.9,,,
49,relation,Monitoring,has outcome,Outcome,the outcome was captured at six months using the extended Glasgow Outcome Scale (GOSE).,accept_direct,,,,,Monitoring hasOutcome Outcome is a direct relationship as monitoring directly influences patient outcomes in neurointensive care.,0.9,,,
50,relation,Patient,has demographic data,Demographic Data,the collection of demographic data from traumatic brain injury (TBI) patients.,accept_direct,,,,,Patient hasDemographicData Demographic Data is a direct relationship as demographic data is collected for patients in neurointensive care for TBI.,0.95,,,
51,relation,Patient,has surgical procedure,Surgical Procedure,the physiological vital functions are extensively monitored.,accept_direct,,,,,The relationship 'Patient has surgical procedure Surgical Procedure' is valid as patients receive surgical procedures during neurointensive care for TBI.,0.9,,,
52,relation,Patient,has monitoring data,Monitoring Data,"The Brain Monitoring with Information Technology (BrainIT) network provides a more standardised and higher resolution data collection mechanism for research groups, organisations and the device industry to conduct multi-centre trials of new health care technology in patients with traumatic brain injury.",accept_direct,,,,,The relationship 'Patient hasMonitoringData Monitoring Data' is valid as monitoring data is collected from patients in neurointensive care.,0.95,,,
53,relation,Patient,receives therapy,Therapy,the physiological vital functions are extensively monitored.,revise,4.2,Patient,receivesTherapy,Baseline Therapy,The relation 'receivesTherapy' requires a specific therapy class as the object; 'Therapy' is too general and should be replaced with a specific subclass like 'Baseline Therapy'.,0.9,The relation 'receivesTherapy' requires a specific therapy class; 'Therapy' is too general and should be replaced with 'Baseline Therapy'.,0.9,
54,relation,Therapy,targets condition,Condition,Therapeutic hypothermia reduces intracranial pressure and partial brain oxygen tension in patients with severe traumatic brain injury.,revise,4.4,Therapy,affectsOutcome,Condition,"The relation 'targets condition' should be replaced with 'affectsOutcome' as Therapy influences patient outcomes related to various Conditions, not just targeting them.",0.85,The relation 'targets condition' should be 'affectsOutcome' as Therapy influences patient outcomes related to various Conditions.,1.0,
55,relation,Patient,has clinical assessment,Clinical Assessment,the physiological vital functions are extensively monitored.,accept_direct,,,,,Patient hasClinicalAssessment Clinical Assessment is a direct relationship as per the domain context.,1.0,,,
56,relation,Patient,has outcome,Outcome,the physiological vital functions are extensively monitored.,accept_direct,,,,,The relationship 'Patient hasOutcome Outcome' is valid as it directly connects a Patient to an Outcome measure in the context of neurointensive care.,0.95,,,
57,relation,Patient,has laboratory value,Laboratory Values,the physiological vital functions are extensively monitored.,revise,4.6,Patient,hasLaboratoryValue,Laboratory Values,The relation 'has laboratory value' should be 'hasLaboratoryValue' as it must align with the canonical BrainIT relation naming conventions.,0.9,The relation label 'has laboratory value' contains a typo; it should be 'hasLaboratoryValue' to align with BrainIT conventions.,1.0,
58,relation,Patient,has nursing intervention,Nursing Intervention,"Routine nursing care, physiotherapy, or bedside clinical activities",accept_direct,,,,,Patient hasNursingIntervention Nursing Intervention is a direct relationship as nursing interventions are part of patient care in neurointensive care.,0.95,,,
59,relation,Patient,has session,Session,a live clinical environment to test the data collection systems.,accept_direct,,,,,The relationship 'Patient has session Session' holds directly as a Patient can have multiple monitoring sessions in the ICU.,0.9,,,
60,relation,Session,has timepoint,Timepoint,minute-by-minute physiological data from bedside monitors.,accept_direct,,,,,"Session has timepoint is a direct relationship between the classes Session and Timepoint, as timepoints are discrete moments in a monitoring session.",0.95,,,
61,relation,Timepoint,has monitoring data,Observation,minute-by-minute physiological data from bedside monitors.,accept_direct,,,,,Timepoint hasMonitoringData Observation is a direct relationship as Timepoint is associated with sensor readings recorded as Observations.,0.9,,,
62,relation,Observation,measures parameter,Parameter,the physiological vital functions are extensively monitored.,accept_direct,,,,,Observation measuresParameter Parameter is a direct relationship between the classes defined in the domain context.,0.9,,,
63,relation,Observation,produced by sensor,Sensor,the physiological vital functions are extensively monitored.,accept_direct,,,,,Observation is produced by Sensor as per the definition of Observation and Sensor in the domain context.,0.9,,,
64,relation,Observation,has quality assessment,Data Quality Assessment,the physiological vital functions are extensively monitored.,accept_direct,,,,,Observation has quality assessment Data Quality Assessment is a valid relationship as it reflects the evaluation of monitored data quality in the ICU context.,0.9,,,
65,relation,Data Quality Assessment,associated with condition,Condition,the physiological vital functions are extensively monitored.,accept_indirect,,,,,"DataQualityAssessment is associated with Observation, which measures Parameter, leading to Patient, who has Condition; thus, the relationship is true indirectly.",0.7,,,low_evidence
66,relation,Data Quality Assessment,receives therapy,Therapy,the physiological vital functions are extensively monitored.,revise,4.4,Data Quality Assessment,assesses,Therapy,"The relation 'receivesTherapy' is incorrectly applied; 'Data Quality Assessment' should not receive therapy, but rather assesses the quality of monitoring data related to therapy.",0.7,The relation 'receives therapy' is incorrect; 'Data Quality Assessment' assesses the quality of monitoring data related to 'Therapy'.,1.0,low_evidence
67,relation,Arterial Hypotension,receives therapy,Barbiturates,administration of hyperosmolar molecules were used at the discretion of the managing teams.,revise,4.4,Arterial Hypotension,isTreatedWith,Barbiturates,The relation 'receives therapy' requires a therapy class as the object; 'Barbiturates' should be classified under 'Baseline Therapy' or 'Secondary Insult Therapy'.,0.9,The relation 'receives therapy' should be 'isTreatedWith' as it directly connects the condition and the therapy class.,0.9,
68,relation,Brain Injury,is associated with,Traumatic Brain Injury,Decompressive craniectomy as a second/third-tier intervention in traumatic brain injury,accept_direct,,,,,"Brain Injury is associated with Traumatic Brain Injury as TBI is a subclass of Brain Injury, making the relationship valid and direct.",0.9,,,
69,relation,CVP,has monitoring data,Monitoring Data,physiological monitoring data,accept_direct,,,,,"CVP is a physiological parameter that falls under the category of Monitoring Data, as stated in the preamble.",0.95,,,
70,relation,Clinical Outcome,has outcome,Outcome,demonstrated a decrease in mortality with similar rates of favorable outcome,accept_direct,,,,,Clinical Outcome hasOutcome Outcome is a valid relationship as both classes are defined in the context of patient outcomes in neurointensive care.,0.9,,,
71,relation,Cranial Injuries,is a type of,Injuries,the occurrence of arterial hypotension (systolic pressure less than 90 mmHg) and hypoxia (SaO2 below 90%) at baseline,accept_direct,,,,,Cranial Injuries is a subclass of Injuries as both are valid classes in the neurointensive care context; the relationship holds directly.,0.95,,,
72,relation,Disability,is a type of,Clinical Outcome,the outcome was unfavorable in 51.4% and favorable in 48.6%,revise,4.4,Disability,isARiskFactorFor,Clinical Outcome,The relation 'is a type of' should be changed to 'isARiskFactorFor' as Disability is a clinical outcome related to brain injuries.,0.85,"Disability is a clinical outcome related to brain injuries, so the relation should be isARiskFactorFor.",1.0,
73,relation,Extracranial Injury,is a type of,Injuries,45.9% presented with an additional extracranial injury,accept_direct,,,,,"Extracranial Injury is a subclass of Injuries as it describes a specific type of physical damage resulting from external force, aligning with the preamble's classification.",0.95,,,
74,relation,Intensive Care Management,is a type of,Condition,"In many neurointensive care centers, Decompressive craniectomy (DC) is being used in combination with other second/third-tier therapies.",reject,,,,,"The subject 'Intensive Care Management' does not fit as a type of 'Condition'; 'Condition' refers to medical states, not management categories.",0.9,,,
75,relation,NIBP,is a type of,Monitoring Data,Mean arterial blood pressure (MAP) and Mean intracranial pressure (ICP),accept_direct,,,,,"NIBP is a subclass of Monitoring Data as it is an optional BrainIT parameter, confirming the hierarchical relationship.",0.95,,,
76,relation,Pressure Reactivity Index (PRx),is a type of,Core Monitoring Parameter,Pressure Reactivity Index (PRx) is the moving correlation between mean arterial blood pressure (MAP) and Mean intracranial pressure (ICP).,accept_direct,,,,,Pressure Reactivity Index (PRx) is a subclass of Core Monitoring Parameter as per the preamble's classification of monitoring parameters.,0.9,,,
77,relation,Hypotension,is treated with,Noradrenaline,the time and dose of a bolus of Noradrenaline,accept_direct,,,,,"Hypotension is a Condition and Noradrenaline is a therapy used to treat it, establishing a direct relationship.",0.95,,,
78,relation,CPP,targets condition,Respiratory Distress Syndrome,Cerebral Perfusion Pressure (CPP) value to target lies within the range of 50-70 mm Hg.,reject,,,,,"CPP does not target Respiratory Distress Syndrome; the relationship is clinically implausible as CPP is related to cerebral blood flow, not directly to respiratory conditions.",0.9,,,
79,relation,Traumatic Brain Injury,applies treatment,Osmotics,#2 - Hyperosmolar therapy,accept_indirect,,,,,'Traumatic Brain Injury applies treatment Osmotics' is true via 'Osmotics is a type of Secondary Insult Therapy' and 'Secondary Insult Therapy targets Condition'.,0.7,,,low_evidence
80,relation,Cerebrovascular Autoregulation,receives therapy,CPP,the presence (or not) of cerebral autoregulation,revise,4.4,Cerebrovascular Autoregulation,isInfluencedBy,CPP,Cerebrovascular Autoregulation should not receive therapy; it is a physiological condition. The relation should be corrected to reflect that CPP is a parameter influenced by therapies.,0.9,"Cerebrovascular Autoregulation should not receive therapy; it is influenced by CPP, a parameter affected by therapies.",1.0,
81,relation,ICP,receives therapy,Partial Pressure of Brain Tissue Oxygen,There is a statistically significant (p < 0.001) non-linear effect of Intracranial Pressure (ICP) on Regression model of partial pressure of brain tissue oxygen (PbtO2).,revise,4.4,ICP,isMonitoredBy,Partial Pressure of Brain Tissue Oxygen,"Partial Pressure of Brain Tissue Oxygen is a physiological parameter, not a therapy; the relation 'receivesTherapy' is incorrect and should be changed to a valid relationship.",0.7,The relation 'receives therapy' is incorrect; 'ICP' is monitored by 'Partial Pressure of Brain Tissue Oxygen' as a physiological parameter.,1.0,low_evidence
82,relation,Traumatic Brain Injury,has clinical assessment,GOSe Outcome,Monitoring of Intracranial Pressure (ICP) has also been shown to have better functional outcomes.,accept_direct,,,,,Traumatic Brain Injury has clinical assessment GOSe Outcome is a direct relationship as GOSe Outcome is used to assess outcomes in TBI patients.,0.9,,,
83,relation,Partial Pressure of Brain Tissue Oxygen,is measured at,Measurement Time,Partial pressure of brain tissue oxygen over intracranial pressure stratified by days in Intensive Care Unit (ICU),accept_direct,,,,,"Partial Pressure of Brain Tissue Oxygen is a physiological parameter that is measured at specific time points, making the relationship valid.",0.9,,,
84,relation,ICP,receives therapy,Pbro2,an overall increase in Regression model of partial pressure of brain tissue oxygen (PbtO2) of 5.2% for a 10 mmHg increase in Intracranial Pressure (ICP),revise,4.4,ICP,assesses,Pbro2,"The relation 'receives therapy' is incorrect as 'PbtO2' is a parameter, not a therapy; it should be replaced with a valid therapy class.",0.7,"The relation 'receives therapy' is incorrect; ICP assesses Pbro2 as a parameter, not a therapy.",0.9,low_evidence
85,relation,Partial Pressure of Carbon Dioxide,receives therapy,Pbro2,a decrease of 0.16% from a unit increase in Mean Arterial Pressure (MAP) and a Regression model of partial pressure of brain tissue oxygen (PbtO2) decrease of 0.16% from a unit increase in PaCO2,revise,4.4,Pbro2,receivesTherapy,Barbiturates,Partial Pressure of Carbon Dioxide is not a therapy; it should be replaced with a valid therapy class for the relation 'receivesTherapy'.,0.85,Partial Pressure of Carbon Dioxide is not a therapy; Barbiturates is a valid therapy class for the relation 'receivesTherapy'.,1.0,
86,relation,ICP,has outcome,Outcome,median extended Glasgow outcome scale of 7.00,accept_direct,,,,,ICP hasOutcome Outcome is a direct relationship as ICP is a critical parameter influencing patient outcomes in neurointensive care.,0.9,,,
87,relation,Intracranial Hypertension,receives therapy,CPP,the impact of autoregulation on Regression model of partial pressure of brain tissue oxygen (PbtO2) cannot be directly assessed.,revise,4.4,Intracranial Hypertension,affectsOutcome,CPP,Intracranial Hypertension should not 'receive therapy' as it is a condition; replace with a valid therapy class such as 'CPP' or relabel the relation to 'affectsOutcome'.,0.9,The relation 'receives therapy' is incorrect as Intracranial Hypertension is a condition; it should 'affect' the outcome related to CPP.,0.9,
88,relation,Hypotension,is associated with,Traumatic Brain Injury,guarding against hypotensive conditions in Traumatic Brain Injury (TBI) patients.,accept_direct,,,,,Hypotension is associated with Traumatic Brain Injury as both are valid conditions in the neurointensive care context.,0.95,,,
89,relation,Intracranial Hypertension,receives therapy,Traumatic Brain Injury,episodes of increased intracranial pressure (ICP) and worse clinical outcomes,revise,4.4,Intracranial Hypertension,isTreatedWith,Secondary Insult Therapy,"The relation 'receives therapy' is incorrect; 'Intracranial Hypertension' should be associated with a specific therapy class, not a condition like 'Traumatic Brain Injury'.",0.85,The relation 'receives therapy' should be 'isTreatedWith' to correctly associate 'Intracranial Hypertension' with a therapy class.,0.9,
90,relation,CPP,assesses,Intracranial Hypertension,the ability to tolerate elevated intracranial pressures is reduced.,accept_direct,,,,,CPP assesses Intracranial Hypertension as it is clinically valid to evaluate the risk of secondary injury in TBI patients through CPP measurements.,0.9,,,
91,relation,CPP,is associated with,ICP,Role of Cerebral Perfusion Pressure (CPP),accept_direct,,,,,"CPP is associated with ICP as both are critical parameters in neurological assessments, directly influencing cerebral perfusion.",0.95,,,
92,relation,ICP,associated with condition,Mortality,"when Cerebral Perfusion Pressure (CPP) was below 50 mmHg, almost all The BESTIntracranial pressure (ICP) insults were associated with worse outcome",accept_direct,,,,,"ICP is associated with Mortality as a critical parameter influencing outcomes in neurointensive care, supporting the direct relationship.",0.9,,,
