triple_index,kind,subject,relation,object,evidence,verdict,revise_subtype,suggested_subject,suggested_relation,suggested_object,justification,confidence,stage_b_justification,stage_b_confidence,flags
25,relation,Vasopressors,receives therapy,Cerebral Perfusion Pressure (CPP),the non-beneficial effect of keeping Cerebral Perfusion Pressure (CPP) above 70 mmHg by administering high doses of vasopressors.,revise,4.4,Vasopressors,isTreatedWith,Vasopressor Therapy,Cerebral Perfusion Pressure (CPP) is not a therapy; it should be replaced with a valid therapy class like 'Vasopressor Therapy'.,0.9,Cerebral Perfusion Pressure is not a therapy; it should be replaced with 'Vasopressor Therapy' as the correct therapy class.,1.0,
26,relation,Cerebral Perfusion Pressure (CPP),correlates with,Mean Arterial Pressure (MAP),Cerebral Perfusion Pressure (CPP) strongly correlated with Mean Arterial Pressure (MAP).,accept_direct,,,,,Cerebral Perfusion Pressure (CPP) correlates with Mean Arterial Pressure (MAP) as both are valid physiological parameters in neurointensive care.,0.95,,,
27,relation,Cerebral Perfusion Pressure (CPP),receives therapy,Intracranial Pressure (ICP),it is influenced by Intracranial Pressure (ICP) variability,revise,4.4,Cerebral Perfusion Pressure,assesses,Intracranial Pressure,"Cerebral Perfusion Pressure (CPP) is not a therapy; it should be related to Intracranial Pressure (ICP) via a monitoring or assessment relation, not 'receives therapy'.",0.7,"Cerebral Perfusion Pressure assesses Intracranial Pressure, reflecting the correct monitoring relationship per the domain context.",0.9,low_evidence
28,relation,Cerebral Perfusion Pressure (CPP),receives therapy,Mean Arterial Pressure (MAP),Mean Arterial Pressure (MAP) variability including,revise,4.4,Cerebral Perfusion Pressure,isMonitoredBy,Mean Arterial Pressure,Cerebral Perfusion Pressure (CPP) should not receive therapy; it is a derived parameter. The relation should be 'isMonitoredBy' or similar.,0.7,"Cerebral Perfusion Pressure is a derived parameter and should be monitored by Mean Arterial Pressure, not receive therapy.",1.0,low_evidence
29,relation,Cerebral Perfusion Pressure (CPP),associates with,Acute Respiratory Distress Syndrome,acute respiratory distress syndrome (ARDS) reportedly associated with vasopressors,accept_indirect,,,,,Cerebral Perfusion Pressure (CPP) is associated with secondary insults like Acute Respiratory Distress Syndrome (ARDS) through the pathway of monitoring and assessing conditions in TBI patients.,0.7,,,low_evidence
30,relation,Cerebral Perfusion Pressure (CPP),follows,Guideline,the Brain Trauma Foundation (BTF) guidelines issued this year,accept_indirect,,,,,"Cerebral Perfusion Pressure (CPP) is assessed via guidelines, making the relationship valid through an indirect chain of clinical practice; it follows from guidelines to assessment methods.",0.7,,,low_evidence
31,relation,Guideline Adherence,receives therapy,Traumatic Brain Injury,Guideline adherence and outcomes in severe adult traumatic brain injury,revise,4.4,Guideline Adherence,affectsOutcome,Traumatic Brain Injury,The relation 'receivesTherapy' is incorrect as 'Guideline Adherence' cannot receive therapy; it should be 'Guideline Adherence affects Outcome' instead.,0.85,The relation 'receivesTherapy' is incorrect; 'Guideline Adherence' affects the outcome of 'Traumatic Brain Injury'.,1.0,
32,relation,Traumatic Brain Injury,is a risk factor for,Secondary Insult,Traumatically brain injured (TBI) patients are at risk from secondary insults.,accept_direct,,,,,"Traumatic Brain Injury is a known risk factor for Secondary Insult, as indicated by the clinical context provided.",0.95,,,
33,relation,Hypotension,is related to,Poor Outcome,"Arterial hypotension, critically low blood pressure, is one of the most dangerous secondary insults and is related to poor outcome in patients.",accept_direct,,,,,Hypotension is related to Poor Outcome as the evidence states arterial hypotension is one of the most dangerous secondary insults related to poor outcomes in patients.,0.9,,,
34,relation,Hypotension,affects outcome,Traumatic Brain Injury,there is compelling evidence that even 'minute by minute' hypotension events cumulatively can influence patient outcome.,accept_direct,,,,,Hypotension affects outcome directly as it is a condition that can lead to poor outcomes in patients with Traumatic Brain Injury.,0.9,,,
35,relation,Hypotension,prognostic factor for,Head Injury,the cumulative duration of arterial hypotensive events is a prognostic factor for their clinical outcome following a head injury.,accept_direct,,,,,"Hypotension is a condition that can indeed be a prognostic factor for Head Injury, as supported by the evidence provided.",0.9,,,
36,relation,Hypotension,associated with condition,Condition,"for with the medical management of sepsis, it has been shown that duration of hypotension before initiation",reject,,,,,'Hypotension associated with Condition' is incorrect as 'Condition' is too generic and does not specifically relate to 'Hypotension'; no valid relation exists between them.,0.7,,,low_evidence
37,relation,Traumatic Brain Injury,has monitoring data,Hypotension,both systolic and mean arterial pressure should be monitored and considered in the definition of hypotension,accept_direct,,,,,"Hypotension is a condition that can be monitored, thus the relationship 'Traumatic Brain Injury hasMonitoringData Hypotension' is valid and directly holds.",0.95,,,
38,relation,Hypotension,is a condition of,Sepsis,"for with the medical management of sepsis, it has been shown that duration of hypotension before initiation",accept_indirect,,,,,"Hypotension is a condition that can lead to poor outcomes in critically ill patients; Sepsis can be a consequence of such conditions, forming an indirect relationship.",0.7,,,low_evidence
39,relation,Sepsis,receives therapy,Hypotension,it has been shown that with each hour delay in treatment of hypotension leads to an increase in in-hospital mortality.,revise,4.3,Sepsis,receivesTherapy,Fluid,Hypotension should be replaced with a valid therapy class as the object for 'receivesTherapy'; it cannot receive therapy itself.,0.9,"Hypotension cannot receive therapy; Fluid is a valid therapy class for Sepsis, correcting the object to a therapy class.",0.9,
40,relation,Monitoring Data,has monitoring data,Monitoring Data,sophisticated patient monitoring systems can capture large volumes of streaming physiological data which continuously report on a patient's status.,reject,,,,,The triple 'Monitoring Data has monitoring data Monitoring Data' is semantically incorrect as it implies a circular relationship without valid context or hierarchy.,0.7,,,low_evidence
41,relation,Intracranial Pressure (ICP),affects outcome,Hypotension,Impact of Intracranial Pressure (ICP) instability and hypotension on outcome in patients with severe head trauma.,accept_direct,,,,,The relationship 'Intracranial Pressure affects outcome Hypotension' is clinically valid as ICP instability can lead to poor outcomes in patients with hypotension.,0.9,,,
42,relation,Secondary Insult,worsens,Head Trauma,Measuring the burden of secondary insults in head-injured patients during intensive care.,accept_indirect,,,,,"Secondary Insult worsens Head Trauma indirectly through the concept of 'Condition', as both are subclasses of 'Condition'.",0.85,,,
43,relation,Decompressive Craniectomy,is associated with,Mean Intracranial Pressure,Decompressive craniectomy (DC) resulted in an absolute reduction in median mean Mean intracranial pressure (ICP) from 19.5 group to 13.9 mmHg.,accept_direct,,,,,Decompressive Craniectomy is associated with Mean Intracranial Pressure as a clinical measure in neurointensive care; the relationship is valid and direct.,0.95,,,
44,relation,Decompressive Craniectomy,is associated with,Cerebrovascular Autoregulation,"A control varying effect on Cerebral Perfusion Pressure (CPP) was seen, as well as a trend of reduction in median Pressure Reactivity Index (PRx).",accept_indirect,,,,,Decompressive Craniectomy is associated with Cerebrovascular Autoregulation via the chain: Surgical Procedure → isAssociatedWith → Insult → affectsOutcome → Cerebrovascular Autoregulation.,0.8,,,
45,relation,Decompressive Craniectomy,has monitoring data,Monitoring Data,"patient, injury and management variables including physiological monitoring data and administration of thiopental were analysed",accept_direct,,,,,Decompressive Craniectomy hasMonitoringData Monitoring Data is valid as surgical procedures are monitored for physiological parameters during treatment.,0.9,,,
46,relation,Decompressive Craniectomy,is associated with,Intracranial Pressure (ICP),uncontrollable intracranial hypertension is a major cause of death in patients with severe traumatic brain injury.,accept_direct,,,,,Decompressive Craniectomy is associated with Intracranial Pressure (ICP) as it directly impacts brain pressure management in neurointensive care.,0.9,,,
47,relation,Decompressive Craniectomy,is treated with,Barbiturates,"Decompressive craniectomy (DC) was chosen as a next step, with or without first having applied third-tier medical therapy with barbiturates.",accept_indirect,,,,,Decompressive Craniectomy is associated with Barbiturates through the intermediate concept of therapy; the relationship is valid but not direct.,0.7,,,low_evidence
48,relation,Decompressive Craniectomy,affects outcome,Mortality,the results of RESCUEicp showed that Decompressive craniectomy (DC) resulted in lower mortality rates.,accept_direct,,,,,Decompressive Craniectomy affects outcome Mortality is clinically valid as the procedure is known to influence mortality rates in TBI patients.,0.9,,,
49,relation,Monitoring,has outcome,Outcome,the outcome was captured at six months using the extended Glasgow Outcome Scale (GOSE).,accept_direct,,,,,Monitoring hasOutcome Outcome is a valid direct relationship as monitoring directly relates to patient outcomes in neurointensive care.,0.95,,,
50,relation,Patient,has demographic data,Demographic Data,the collection of demographic data from traumatic brain injury (TBI) patients.,accept_direct,,,,,Patient hasDemographicData Demographic Data is a direct relationship as demographic data is collected for patients in the neurointensive care context.,0.95,,,
51,relation,Patient,has surgical procedure,Surgical Procedure,the physiological vital functions are extensively monitored.,accept_direct,,,,,The triple 'Patient has surgical procedure Surgical Procedure' is semantically correct as it directly connects a patient to a surgical procedure performed during their ICU stay.,0.95,,,
52,relation,Patient,has monitoring data,Monitoring Data,"The Brain Monitoring with Information Technology (BrainIT) network provides a more standardised and higher resolution data collection mechanism for research groups, organisations and the device industry to conduct multi-centre trials of new health care technology in patients with traumatic brain injury.",accept_direct,,,,,The relationship 'Patient hasMonitoringData Monitoring Data' is valid as monitoring data is collected for patients in neurointensive care.,0.9,,,
53,relation,Patient,receives therapy,Therapy,the physiological vital functions are extensively monitored.,accept_direct,,,,,Patient receives therapy is a direct relationship as Therapy is a valid class for treatments in neurointensive care.,0.95,,,
54,relation,Therapy,targets condition,Condition,Therapeutic hypothermia reduces intracranial pressure and partial brain oxygen tension in patients with severe traumatic brain injury.,reject,,,,,The relation 'targetsCondition' does not hold between 'Therapy' and 'Condition'; therapy does not target a condition directly as defined in the domain context.,0.9,,,
55,relation,Patient,has clinical assessment,Clinical Assessment,the physiological vital functions are extensively monitored.,accept_direct,,,,,The relationship 'Patient hasClinicalAssessment Clinical Assessment' is semantically correct as patients undergo clinical assessments during ICU care.,0.95,,,
56,relation,Patient,has outcome,Outcome,the physiological vital functions are extensively monitored.,accept_direct,,,,,The relationship 'Patient hasOutcome Outcome' is valid as 'Outcome' is a measure of patient outcomes in neurointensive care.,0.95,,,
57,relation,Patient,has laboratory value,Laboratory Values,the physiological vital functions are extensively monitored.,accept_direct,,,,,Patient hasLaboratoryValue Laboratory Values is a direct relationship as laboratory values are routinely assessed for patients in neurointensive care.,0.95,,,
58,relation,Patient,has nursing intervention,Nursing Intervention,"Routine nursing care, physiotherapy, or bedside clinical activities",accept_direct,,,,,The relationship 'Patient has nursing intervention Nursing Intervention' is valid as nursing interventions are a subclass of Nursing Intervention in the neurointensive care context.,0.95,,,
59,relation,Patient,has session,Session,a live clinical environment to test the data collection systems.,revise,4.4,Patient,hasMonitoringData,Session,The relation 'has session' should be 'hasMonitoringData' as it connects Patient to Session in the context of continuous monitoring.,0.85,The relation 'has session' should be 'hasMonitoringData' as it connects Patient to Session in the context of continuous monitoring.,1.0,
60,relation,Session,has timepoint,Timepoint,minute-by-minute physiological data from bedside monitors.,accept_direct,,,,,Session has timepoint is a direct relationship as a monitoring session comprises discrete timepoints with associated readings.,0.9,,,
61,relation,Timepoint,has monitoring data,Observation,minute-by-minute physiological data from bedside monitors.,accept_direct,,,,,Timepoint hasMonitoringData Observation is valid as Timepoint is associated with sensor readings and Observation is a measurement recorded at that Timepoint.,0.9,,,
62,relation,Observation,measures parameter,Parameter,the physiological vital functions are extensively monitored.,accept_direct,,,,,Observation measuresParameter Parameter is a valid direct relationship as Observation is defined as a single measurement for a given Parameter.,0.95,,,
63,relation,Observation,produced by sensor,Sensor,the physiological vital functions are extensively monitored.,accept_direct,,,,,"Observation is produced by Sensor, as Sensors are used to record physiological parameters, aligning with the domain context.",0.9,,,
64,relation,Observation,has quality assessment,Data Quality Assessment,the physiological vital functions are extensively monitored.,accept_direct,,,,,Observation has quality assessment Data Quality Assessment is a valid relationship as quality assessments are directly associated with observations in clinical monitoring.,0.9,,,
65,relation,Data Quality Assessment,associated with condition,Condition,the physiological vital functions are extensively monitored.,accept_indirect,,,,,"DataQualityAssessment is associated with Observation, which measures Parameter, leading to Condition indirectly; thus, the relationship holds via intermediate concepts.",0.7,,,low_evidence
66,relation,Data Quality Assessment,receives therapy,Therapy,the physiological vital functions are extensively monitored.,revise,4.4,Data Quality Assessment,isAssociatedWith,Therapy,The relation 'receivesTherapy' is incorrect as 'Data Quality Assessment' cannot receive therapy; it should be 'isAssociatedWith' or similar.,0.7,"The relation 'receivesTherapy' is incorrect; 'Data Quality Assessment' cannot receive therapy, it should be 'isAssociatedWith'.",1.0,low_evidence
67,relation,Arterial Hypotension,receives therapy,Barbiturates,administration of hyperosmolar molecules were used at the discretion of the managing teams.,revise,4.4,Arterial Hypotension,isAssociatedWith,Barbiturates,"Arterial Hypotension should not 'receives therapy'; it should be revised to 'isAConditionOf' Barbiturates, as Barbiturates are a therapy for conditions like Arterial Hypotension.",0.9,The relation 'receives therapy' should be 'isAssociatedWith' as Barbiturates are therapies associated with conditions like Arterial Hypotension.,0.9,
68,relation,Brain Injury,is associated with,Traumatic Brain Injury,Decompressive craniectomy as a second/third-tier intervention in traumatic brain injury,accept_direct,,,,,"Brain Injury is associated with Traumatic Brain Injury as TBI is a subclass of Brain Injury, making the relationship valid directly.",0.95,,,
69,relation,CVP,has monitoring data,Monitoring Data,physiological monitoring data,accept_direct,,,,,CVP is a physiological parameter that falls under Monitoring Data as per the preamble; the relationship is direct.,0.95,,,
70,relation,Clinical Outcome,has outcome,Outcome,demonstrated a decrease in mortality with similar rates of favorable outcome,accept_direct,,,,,Clinical Outcome hasOutcome Outcome is a valid relationship as both classes are defined in the context of patient health measures.,0.9,,,
71,relation,Cranial Injuries,is a type of,Injuries,the occurrence of arterial hypotension (systolic pressure less than 90 mmHg) and hypoxia (SaO2 below 90%) at baseline,accept_direct,,,,,Cranial Injuries is a subclass of Injuries as both are related to physical damage from trauma; the relationship holds directly.,0.9,,,
72,relation,Disability,is a type of,Clinical Outcome,the outcome was unfavorable in 51.4% and favorable in 48.6%,reject,,,,,Disability is not a subclass or type of Clinical Outcome; the relationship does not hold directly or indirectly between these classes.,0.9,,,
73,relation,Extracranial Injury,is a type of,Injuries,45.9% presented with an additional extracranial injury,revise,4.9,Extracranial Injury,subClassOf,Injuries,The relation 'is a type of' should be 'subClassOf' as 'Extracranial Injury' is a subclass of 'Injuries' in the context of physical damage from trauma.,0.9,The relation 'is a type of' should be 'subClassOf' as 'Extracranial Injury' is a subclass of 'Injuries' in the context of physical damage from trauma.,1.0,
74,relation,Intensive Care Management,is a type of,Condition,"In many neurointensive care centers, Decompressive craniectomy (DC) is being used in combination with other second/third-tier therapies.",reject,,,,,The relationship 'Intensive Care Management is a type of Condition' is incorrect; Intensive Care Management is not a medical condition but rather a management category.,0.9,,,
75,relation,NIBP,is a type of,Monitoring Data,Mean arterial blood pressure (MAP) and Mean intracranial pressure (ICP),accept_direct,,,,,NIBP is a valid subclass of Monitoring Data as it is listed as an optional monitoring parameter in the preamble.,0.95,,,
76,relation,Pressure Reactivity Index (PRx),is a type of,Core Monitoring Parameter,Pressure Reactivity Index (PRx) is the moving correlation between mean arterial blood pressure (MAP) and Mean intracranial pressure (ICP).,accept_direct,,,,,Pressure Reactivity Index (PRx) is correctly classified as a Core Monitoring Parameter according to the preamble's definitions.,0.9,,,
77,relation,Hypotension,is treated with,Noradrenaline,the time and dose of a bolus of Noradrenaline,accept_direct,,,,,"Hypotension is a valid Condition and Noradrenaline is used to treat it, making the relationship semantically correct.",0.95,,,
78,relation,Cerebral Perfusion Pressure (CPP),targets condition,Respiratory Distress Syndrome,Cerebral Perfusion Pressure (CPP) value to target lies within the range of 50-70 mm Hg.,reject,,,,,Cerebral Perfusion Pressure does not target Respiratory Distress Syndrome; they are not directly related in the context of neurointensive care.,0.9,,,
79,relation,Traumatic Brain Injury,applies treatment,Osmotics,#2 - Hyperosmolar therapy,revise,4.4,Traumatic Brain Injury,receivesTherapy,Osmotics,The relation 'applies treatment' should be changed to 'receivesTherapy' since Osmotics is a type of therapy for Traumatic Brain Injury.,0.9,The relation 'applies treatment' should be 'receivesTherapy' as Osmotics is a therapy for Traumatic Brain Injury.,1.0,
80,relation,Cerebrovascular Autoregulation,receives therapy,Cerebral Perfusion Pressure (CPP),the presence (or not) of cerebral autoregulation,revise,4.4,Cerebrovascular Autoregulation,affects,Cerebral Perfusion Pressure,Cerebrovascular Autoregulation should not receive therapy; it is a physiological mechanism. The relation should be changed to 'affects' or similar to reflect its role in CPP.,0.7,Cerebrovascular Autoregulation should not receive therapy; it affects Cerebral Perfusion Pressure instead.,1.0,low_evidence
81,relation,Intracranial Pressure (ICP),receives therapy,Partial Pressure of Brain Tissue Oxygen,There is a statistically significant (p < 0.001) non-linear effect of Intracranial Pressure (ICP) on Regression model of partial pressure of brain tissue oxygen (PbtO2).,revise,4.3,Intracranial Pressure (ICP),receivesTherapy,Barbiturates,Partial Pressure of Brain Tissue Oxygen is not a Therapy; it should be replaced with a valid therapy class such as Barbiturates or Steroids.,0.9,Partial Pressure of Brain Tissue Oxygen is not a therapy; Barbiturates is a valid therapy class under Secondary Insult Therapy.,0.9,
82,relation,Traumatic Brain Injury,has clinical assessment,GOSe Outcome,Monitoring of Intracranial Pressure (ICP) has also been shown to have better functional outcomes.,accept_indirect,,,,,The relationship 'Traumatic Brain Injury has clinical assessment GOSe Outcome' holds indirectly via 'GOSe Outcome assesses Outcome' and 'Traumatic Brain Injury hasOutcome Outcome'.,0.85,,,
83,relation,Partial Pressure of Brain Tissue Oxygen,is measured at,Measurement Time,Partial pressure of brain tissue oxygen over intracranial pressure stratified by days in Intensive Care Unit (ICU),accept_direct,,,,,"Partial Pressure of Brain Tissue Oxygen is a physiological parameter that is measured at specific time points during ICU stay, aligning directly with the definitions provided.",0.9,,,
84,relation,Intracranial Pressure (ICP),receives therapy,PbrO2,an overall increase in Regression model of partial pressure of brain tissue oxygen (PbtO2) of 5.2% for a 10 mmHg increase in Intracranial Pressure (ICP),revise,4.4,Intracranial Pressure (ICP),isMonitoredBy,PbrO2,"The relation 'receives therapy' is incorrect; 'PbrO2' is a parameter, not a therapy. It should be replaced with a valid therapy class.",0.7,"Intracranial Pressure (ICP) is monitored by PbrO2, as it is a critical parameter for assessing cerebral oxygenation.",0.9,low_evidence
85,relation,Partial Pressure of Carbon Dioxide,receives therapy,PbrO2,a decrease of 0.16% from a unit increase in Mean Arterial Pressure (MAP) and a Regression model of partial pressure of brain tissue oxygen (PbtO2) decrease of 0.16% from a unit increase in PaCO2,revise,4.4,Partial Pressure of Carbon Dioxide,affectsOutcome,PbrO2,"Partial Pressure of Carbon Dioxide should not receive therapy; it is a parameter. The relation should be changed to a more appropriate one, such as 'affectsOutcome'.",0.9,The relation 'receives therapy' is incorrect; 'Partial Pressure of Carbon Dioxide' affects the outcome related to 'PbrO2'.,0.9,
86,relation,Intracranial Pressure (ICP),has outcome,Outcome,median extended Glasgow outcome scale of 7.00,accept_direct,,,,,Intracranial Pressure (ICP) hasOutcome Outcome is a valid direct relationship as ICP is a critical parameter influencing patient outcomes in neurointensive care.,0.95,,,
87,relation,Intracranial Hypertension,receives therapy,Cerebral Perfusion Pressure (CPP),the impact of autoregulation on Regression model of partial pressure of brain tissue oxygen (PbtO2) cannot be directly assessed.,revise,4.4,Intracranial Hypertension,isMonitoredBy,Cerebral Perfusion Pressure,"Intracranial Hypertension should not 'receive therapy' as it is a condition; it should be related to a specific therapy instead, such as CPP management.",0.7,The relation should be isMonitoredBy as CPP is used to monitor Intracranial Hypertension.,0.9,low_evidence
88,relation,Hypotension,is associated with,Traumatic Brain Injury,guarding against hypotensive conditions in Traumatic Brain Injury (TBI) patients.,accept_direct,,,,,Hypotension is associated with Traumatic Brain Injury as both are valid conditions in the neurointensive care context.,0.95,,,
