triple_index,kind,subject,relation,object,evidence,verdict,revise_subtype,suggested_subject,suggested_relation,suggested_object,justification,confidence,stage_b_justification,stage_b_confidence,flags
54,relation,Therapy,targets condition,Condition,Therapeutic hypothermia reduces intracranial pressure and partial brain oxygen tension in patients with severe traumatic brain injury.,revise,4.4,Therapy,isARiskFactorFor,Condition,The relation 'targetsCondition' should be changed to 'isARiskFactorFor' as Therapy influences conditions rather than targeting them directly.,0.8,The relation 'targetsCondition' should be 'isARiskFactorFor' as Therapy influences conditions rather than targeting them directly.,1.0,
55,relation,Patient,has clinical assessment,Clinical Assessment,the physiological vital functions are extensively monitored.,accept_direct,,,,,The triple 'Patient hasClinicalAssessment Clinical Assessment' is semantically correct as Clinical Assessment is a valid subclass of Clinical Assessment related to Patient.,0.9,,,
56,relation,Patient,has outcome,Outcome,the physiological vital functions are extensively monitored.,accept_direct,,,,,Patient hasOutcome Outcome is a direct relationship as the outcome measures the result of care for the patient.,0.95,,,
57,relation,Patient,has laboratory value,Laboratory Values,the physiological vital functions are extensively monitored.,revise,4.4,Patient,hasLaboratoryValue,Laboratory Values,The relation 'has laboratory value' should be 'hasLaboratoryValue' as it must align with the canonical BrainIT relation names.,0.9,'has laboratory value' should be 'hasLaboratoryValue' to align with the canonical BrainIT relation names.,1.0,
58,relation,Patient,has nursing intervention,Nursing Intervention,"Routine nursing care, physiotherapy, or bedside clinical activities",accept_direct,,,,,The triple 'Patient has nursing intervention Nursing Intervention' is semantically correct as nursing interventions are part of patient care in neurointensive care.,0.95,,,
59,relation,Patient,has session,Session,a live clinical environment to test the data collection systems.,accept_direct,,,,,Patient has session is a valid direct relationship as sessions are continuous monitoring instances for patients in neurointensive care.,0.9,,,
60,relation,Session,has timepoint,Timepoint,minute-by-minute physiological data from bedside monitors.,accept_direct,,,,,Session has timepoint Timepoint is a direct relationship as a monitoring session comprises discrete moments associated with sensor readings.,0.95,,,
61,relation,Timepoint,has monitoring data,Observation,minute-by-minute physiological data from bedside monitors.,accept_direct,,,,,"Timepoint hasMonitoringData Observation is valid as Timepoint is associated with sensor readings, which are a type of Observation.",0.95,,,
62,relation,Observation,measures parameter,Parameter,the physiological vital functions are extensively monitored.,accept_direct,,,,,Observation measuresParameter Parameter is a direct relationship between the classes as defined in the domain context.,0.95,,,
63,relation,Observation,produced by sensor,Sensor,the physiological vital functions are extensively monitored.,accept_direct,,,,,"Observation is producedBySensor Sensor, as sensors are used to record physiological parameters, aligning with the defined relationship in the domain context.",0.9,,,
64,relation,Observation,has quality assessment,Data Quality Assessment,the physiological vital functions are extensively monitored.,accept_direct,,,,,Observation has quality assessment Data Quality Assessment is a valid relationship as it aligns with the monitoring and assessment of ICU data quality.,0.9,,,
65,relation,Data Quality Assessment,associated with condition,Condition,the physiological vital functions are extensively monitored.,accept_indirect,,,,,Data Quality Assessment is associated with Condition via the chain: Data Quality Assessment → assesses → Observation → measuresParameter → Patient → hasCondition → Condition.,0.7,,,low_evidence
66,relation,Data Quality Assessment,receives therapy,Therapy,the physiological vital functions are extensively monitored.,revise,4.4,Data Quality Assessment,isAssociatedWith,Therapy,The relation 'receives therapy' is incorrect as 'Data Quality Assessment' does not receive therapy; it should be 'is associated with' or similar.,0.8,The relation 'receives therapy' is incorrect; 'Data Quality Assessment' should be linked to 'Therapy' via 'isAssociatedWith'.,0.9,
67,relation,Arterial Hypotension,receives therapy,Barbiturates,administration of hyperosmolar molecules were used at the discretion of the managing teams.,revise,4.4,Arterial Hypotension,isTreatedWith,Barbiturates,The relation 'receivesTherapy' requires the object to be a Therapy; 'Barbiturates' should be classified as a subclass of 'Secondary Insult Therapy'.,0.9,The relation 'receives therapy' should be 'isTreatedWith' as it directly connects the condition to the therapy.,0.9,
68,relation,Brain Injury,is associated with,Traumatic Brain Injury,Decompressive craniectomy as a second/third-tier intervention in traumatic brain injury,accept_direct,,,,,"Brain Injury is associated with Traumatic Brain Injury as TBI is a subclass of Brain Injury, confirming the relationship directly.",0.95,,,
69,relation,CVP,has monitoring data,Monitoring Data,physiological monitoring data,accept_direct,,,,,"CVP is a physiological parameter and Monitoring Data is the class for data collected to assess physiological parameters, making the relationship valid.",0.95,,,
70,relation,Clinical Outcome,has outcome,Outcome,demonstrated a decrease in mortality with similar rates of favorable outcome,accept_direct,,,,,Clinical Outcome hasOutcome Outcome is a valid relationship as both classes are defined in the context of patient outcomes in neurointensive care.,0.9,,,
71,relation,Cranial Injuries,is a type of,Injuries,the occurrence of arterial hypotension (systolic pressure less than 90 mmHg) and hypoxia (SaO2 below 90%) at baseline,accept_direct,,,,,"Cranial Injuries is a subclass of Injuries as both are types of physical damage resulting from trauma, aligning with the preamble's definitions.",0.9,,,
72,relation,Disability,is a type of,Clinical Outcome,the outcome was unfavorable in 51.4% and favorable in 48.6%,revise,4.4,Disability,isARiskFactorFor,Clinical Outcome,The relation 'is a type of' should be 'isARiskFactorFor' as Disability is a clinical outcome related to patient health status after treatment.,0.7,The relation 'is a type of' should be 'isARiskFactorFor' as Disability is a clinical outcome related to patient health status after treatment.,1.0,low_evidence
73,relation,Extracranial Injury,is a type of,Injuries,45.9% presented with an additional extracranial injury,revise,4.9,Extracranial Injury,subClassOf,Injuries,The relation 'is a type of' should be 'subClassOf' as Extracranial Injury is a subclass of Injuries based on the preamble classifications.,0.9,The relation 'is a type of' should be 'subClassOf' as Extracranial Injury is a subclass of Injuries based on the preamble classifications.,1.0,
74,relation,Intensive Care Management,is a type of,Condition,"In many neurointensive care centers, Decompressive craniectomy (DC) is being used in combination with other second/third-tier therapies.",reject,,,,,'Intensive Care Management is a type of Condition' is incorrect; Intensive Care Management is not a medical condition but a management category in neurointensive care.,0.95,,,
75,relation,NIBP,is a type of,Monitoring Data,Mean arterial blood pressure (MAP) and Mean intracranial pressure (ICP),accept_direct,,,,,NIBP is a valid subclass of Monitoring Data as per the preamble's classification of parameters.,0.95,,,
76,relation,Pressure Reactivity Index (PRx),is a type of,Core Monitoring Parameter,Pressure Reactivity Index (PRx) is the moving correlation between mean arterial blood pressure (MAP) and Mean intracranial pressure (ICP).,accept_direct,,,,,Pressure Reactivity Index (PRx) is a subclass of Core Monitoring Parameter as per the preamble's classification of derived parameters.,0.9,,,
77,relation,Hypotension,is treated with,Noradrenaline,the time and dose of a bolus of Noradrenaline,accept_direct,,,,,Hypotension is treated with Noradrenaline is a valid clinical relationship as Noradrenaline is used to increase blood pressure in patients with hypotension.,0.95,,,
78,relation,Cerebral Perfusion Pressure (CPP),targets condition,Respiratory Distress Syndrome,Cerebral Perfusion Pressure (CPP) value to target lies within the range of 50-70 mm Hg.,reject,,,,,"Cerebral Perfusion Pressure (CPP) does not target Respiratory Distress Syndrome; CPP is a parameter related to cerebral blood flow, not a treatment for respiratory conditions.",0.9,,,
79,relation,Traumatic Brain Injury,applies treatment,Osmotics,#2 - Hyperosmolar therapy,accept_indirect,,,,,"Osmotics applies treatment to Traumatic Brain Injury via the therapy class hierarchy; Osmotics is a subclass of Secondary Insult Therapy, which targets TBI.",0.85,,,
80,relation,Cerebrovascular Autoregulation,receives therapy,Cerebral Perfusion Pressure (CPP),the presence (or not) of cerebral autoregulation,revise,4.4,Cerebrovascular Autoregulation,isAssociatedWith,Cerebral Perfusion Pressure,Cerebrovascular Autoregulation should not 'receive therapy'; it is a physiological mechanism. The relation should be changed to 'isAssociatedWith' or similar.,0.85,"Cerebrovascular Autoregulation should not 'receive therapy'; it is a physiological mechanism, so the relation should be 'isAssociatedWith'.",0.9,
81,relation,Intracranial Pressure (ICP),receives therapy,Partial Pressure of Brain Tissue Oxygen,There is a statistically significant (p < 0.001) non-linear effect of Intracranial Pressure (ICP) on Regression model of partial pressure of brain tissue oxygen (PbtO2).,revise,4.4,Intracranial Pressure (ICP),isMonitoredBy,Partial Pressure of Brain Tissue Oxygen,"The relation 'receives therapy' is incorrect; 'Partial Pressure of Brain Tissue Oxygen' is a parameter, not a therapy. It should be replaced with a valid therapy class.",0.7,"The relation 'receives therapy' is incorrect; 'Partial Pressure of Brain Tissue Oxygen' is a parameter that is monitored, not a therapy.",0.9,low_evidence
82,relation,Traumatic Brain Injury,has clinical assessment,GOSe Outcome,Monitoring of Intracranial Pressure (ICP) has also been shown to have better functional outcomes.,accept_indirect,,,,,The relationship 'Traumatic Brain Injury has clinical assessment GOSe Outcome' is valid through the chain: TBI → hasClinicalAssessment → Clinical Assessment → assesses → Outcome.,0.85,,,
83,relation,Partial Pressure of Brain Tissue Oxygen,is measured at,Measurement Time,Partial pressure of brain tissue oxygen over intracranial pressure stratified by days in Intensive Care Unit (ICU),accept_direct,,,,,Partial Pressure of Brain Tissue Oxygen is measured at Measurement Time directly as a physiological parameter and its measurement timing is clinically relevant.,0.9,,,
84,relation,Intracranial Pressure (ICP),receives therapy,PbrO2,an overall increase in Regression model of partial pressure of brain tissue oxygen (PbtO2) of 5.2% for a 10 mmHg increase in Intracranial Pressure (ICP),revise,4.4,Intracranial Pressure (ICP),isMonitoredBy,PbrO2,"The relation 'receives therapy' is incorrect; 'ICP' is a parameter, not a therapy; it should be replaced with a valid therapy class.",0.8,"ICP is a parameter that is monitored, and PbrO2 is a critical measurement for cerebral oxygenation, hence the relation should be isMonitoredBy.",0.9,
85,relation,Partial Pressure of Carbon Dioxide,receives therapy,PbrO2,a decrease of 0.16% from a unit increase in Mean Arterial Pressure (MAP) and a Regression model of partial pressure of brain tissue oxygen (PbtO2) decrease of 0.16% from a unit increase in PaCO2,revise,4.4,Partial Pressure of Carbon Dioxide,hasMonitoringData,PbrO2,"The relation 'receivesTherapy' is incorrect as 'PbrO2' is a monitoring parameter, not a therapy; it should be replaced with a valid therapy class.",0.7,"The relation 'receivesTherapy' is incorrect; 'PbrO2' is a monitoring parameter, so it should be 'hasMonitoringData'.",1.0,low_evidence
86,relation,Intracranial Pressure (ICP),has outcome,Outcome,median extended Glasgow outcome scale of 7.00,accept_direct,,,,,Intracranial Pressure (ICP) hasOutcome Outcome is a valid direct relationship as ICP is a critical parameter influencing patient outcomes.,0.9,,,
87,relation,Intracranial Hypertension,receives therapy,Cerebral Perfusion Pressure (CPP),the impact of autoregulation on Regression model of partial pressure of brain tissue oxygen (PbtO2) cannot be directly assessed.,revise,4.4,Intracranial Hypertension,isMonitoredBy,Cerebral Perfusion Pressure,"Intracranial Hypertension should not 'receive therapy'; it should be replaced with a valid therapy class like 'Cerebral Perfusion Pressure' which is a parameter, not a therapy.",0.7,"Intracranial Hypertension should be monitored by Cerebral Perfusion Pressure, as CPP is a critical parameter for assessing this condition.",0.9,low_evidence
